Title,Link,Description,Tags
Preservation of Tiatr Literature,https://www.myscheme.gov.in/schemes/potl,"The scheme aims to encourage research work in the field of Tiatr and facilitate writers to take up research work in different aspects of Tiatr, its Song & Music. Research work will be published in book form with remuneration provided to researchers.","Literature, Documentation, Song, Academia, Music"
National Service Scheme,https://www.myscheme.gov.in/schemes/nssc,"The objective of the National Service Scheme (NSS) is to develop the personality and character of students through voluntary community service. The scheme aims to promote social responsibility, leadership, national integration, and a spirit of selfless service among youth.","National, Sports, Student, Youth, Education"
National Handicrafts Development Programme: Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances,https://www.myscheme.gov.in/schemes/nhdp-dba-saic,"The scheme ""Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances"" is designed to give a boost to the handicraft sector in India. Assistance of upto ₹8,000/- per month is granted to the Artisans in Indigent Circumstances in the form of monthly allowance/lump sum grant/ both.","Pension, Artisan, Handicraft, Senior Citizen, Financial Assistance, Social Welfare"
National Handicrafts Development Programme: Research & Development Scheme,https://www.myscheme.gov.in/schemes/nhdp-randds,"The ""NHDP: Research & Development Scheme"" is introduced to generate feedback on economic, social, aesthetic, and promotional aspects of various crafts and artisans in the handicraft sector. The surveys and studies are sponsored/conducted to generate suitable inputs for planning purposes.","Handicraft, Textile, Research, Grant-in-Aid"
Natural Death and Funeral Assistance,https://www.myscheme.gov.in/schemes/ndafa,"The Art and Culture Department, Government of Tamil Nadu was launched the scheme ""Natural Death and Funeral Assistance"". This scheme provides financial assistance for the funeral and natural death of registered folk artistes to support their families during difficult times.","Death, Artist, Funeral, Financial Assistance"
Poompuhar District Craft Award,https://www.myscheme.gov.in/schemes/pdca,"""Poompuhar District Craft Award"" was launched in 2011-2012 by the Dept of Handlooms, Handicrafts, Textiles & Khadi, Tamil Nadu. The award was introduced to recognize and honour the artisans district-wise. This award consists of a cash prize of ₹10,000/-, a silver medal, and a certificate.","Prize, Financial Assistance, Financial Assistance, Craft, Craft"
Poompuhar State Award,https://www.myscheme.gov.in/schemes/psa,"""Poompuhar State Award"" was launched by the Dept of Handlooms, Handicrafts, Textiles & Khadi, Tamil Nadu. The awardees are given ₹50,000, a 4-gram gold medal, tamirapathiram and a certificate. The economically backward awardees are also eligible for monthly pension of ₹3,500/- after 60 years of age.","Financial Assistance, Artisans, Award, Crafts"
Popular Tiatr Competition,https://www.myscheme.gov.in/schemes/ptc-g,The scheme aims to bring about all round development of Popular Tiatr through annual competitions. It provides cash prizes and awards to tiatr groups and individual artists performing in traditional tiatr format across Goa.,"Artist, Culture, Competition, Award, Acting, Singing"
Operation of Sports Hostels,https://www.myscheme.gov.in/schemes/osh,"The scheme aims to encourage tribal students to participate in sports and prepare them for national & international competitions. Tribal students from Classes 6 to 12 are provided with free accommodation, specialized training, nutritious meals & other necessary facilities in the sports hostels.","Hostel, Scheduled Tribe, Sports Training, Sports, Tribal Students"
Oral Documentation of History of Tiatr,https://www.myscheme.gov.in/schemes/odht,The scheme aims to preserve the oral history of tiatr for future generations through documentation of veteran artistes' experiences. It provides video recording and remuneration to eligible veteran tiatr artistes.,"Artist, Culture, Tiatr, Heritage, Remuneration"
Organisation of Cultural Programs,https://www.myscheme.gov.in/schemes/ocpr,"The scheme aims to provide financial assistance to cultural groups and artists registered with the Department for performing in cultural programs organized during traditional fairs, festivals, regional celebrations within and outside the state, as well as on the occasion of national festivals.","Cultural Programs, Artists, Cultural Groups, Culture"
Organising Sports Competitions and Training Camps,https://www.myscheme.gov.in/schemes/kpepska,"The scheme aims to promote sports at the grassroots levels by providing structured training, organizing competitions & nurturing sporting talent. Training is conducted through local camps in all districts for various sports, including football, athletics, boxing, volleyball, etc. with minimal fees.","Sports Competition, Training Camp, Sports, Sportsperson"
Organization of Sports Competitions and Training Programs,https://www.myscheme.gov.in/schemes/osctp,"The scheme aims to promote sports & identify grassroots-level talent among youth through structured competitions & training. Players are provided with cash prizes and free training, & participation is encouraged at multiple levels, including Gram Panchayat, Development Block, District, and State.","Cash Prizes, Sportsperson, Sports Competition, Training Program, Free Training, Sports"
