Title,Link,Description,Tags
Awarding Laptops To Meritorious Students Of Meghalaya,https://www.myscheme.gov.in/schemes/laptopmeghalaya,"The aims to award laptops to meritorious students of Board Examination. Through this scheme, laptops are provided to eligible students who meet the published merit criteria.","Laptop, Toppers, Students, Awards, Academic Excellence"
Award of Pre-matric Scholarship to Scheduled Caste Students Studying from VI to X Standard in Government Schools and Government recognised Private Schools in the Union Territory of Puducherry,https://www.myscheme.gov.in/schemes/ap-msscssvixsgsgrpsutp,The objective of the scheme is to provide financial assistance to Scheduled Caste students to complete their education up to the secondary level and to avoid dropping out of the Scheduled Caste students from their education.,"Pre-matric, Scholarship, Scheduled Caste, Student"
Award of Scholarship to Differently Abled Person Students,https://www.myscheme.gov.in/schemes/asdaps,"The scheme “Award of Scholarship to Differently Abled Person Students” by the Department of Social Welfare, Government of Puducherry is introduced to provide scholarship to the differently abled students, studying from Class 1st upto Postgraduate/ Professional courses.","Scholarship, Student, PwD, Disability, Award"
"Award of Scholarship to the Cadets Belonging to UT of Puducherry and Studying in Rashtriya Indian Military College, Dehradun",https://www.myscheme.gov.in/schemes/ascbutpsrimcd,"The objective of this scheme is to extend scholarships worth of ₹20,000/- per annum to the cadets belonging to the Union Territory of Puducherry who come from economically weak backgrounds and have been selected for admission into the Rashtriya Indian Military College, Dehradun.","Cadet, Military, Scholarship, Education"
Award to Scheduled Castes Students Who Secured Top Ranks at State and District Level in Standard X & XII (Sahuji Maharaj Assistance),https://www.myscheme.gov.in/schemes/ascswstrsdlsxxiisma,"Under the scheme, Scheduled Castes Category students who have Secured Top Ranks at State and District Levels in Gujarat in Standard X & XII are given cash prizes. Cash prizes are awarded to the first three students who secure the highest ranks in both Standard X and Standard XII across all streams.","Student, SC, Top Rank, Award, Cash Prize"
Award of Scholarships to Outstanding NCC Cadets of the UT of Puducherry,https://www.myscheme.gov.in/schemes/asoncutp,"The scheme aims to recognize and support outstanding NCC cadets. The scheme offers scholarships to eligible candidates in various divisions: Senior Division Boys (Up to graduation), Senior Wing Girls, Junior Division Boys (Up to 12th Standard), and Junior Wing Girls.","Cadet, NCC, Camp, Parade, Scholarship"
Awarding Teleeducation Scholarships To Afghan Students,https://www.myscheme.gov.in/schemes/atestas,"The ""Awarding Teleeducation Scholarships To Afghan Students"" scheme under e-VidyaBharati Network Project, launched by the Ministry of External Affairs, offers 1000 annual scholarships to Afghan students for UGC-approved online UG and PG programs from Indian universities.","Higher Studies, Afghanistan, Scholarship, Education, E-Learning"
"Award of ₹20,000/- to Best Writers",https://www.myscheme.gov.in/schemes/atbw,"The scheme provides a cash award of ₹20,000/- to the top 10 writers from Adi Dravidar, Tribal, or Adi Dravidar communities converted to Christianity, with one additional spot for a writer from other communities.","Tribal Welfare, Writers, Cash Award, Unemployment"
Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,https://www.myscheme.gov.in/schemes/ascrncaeaonima,The objectives of this scheme are to recognize the talents of children who are recipients of the National Child Award for Exceptional Achievements and other National/International Merit Awards and to recognize the talents of children who are pursuing outstanding achievements in different fields.,"Scholarship, Award, Merit, School, Student"
Awards to Bright Students,https://www.myscheme.gov.in/schemes/atbs,"The ""Awards to Bright Students"" scheme offers financial assistance to the top two boys and two girls from Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity in each district who have excelled in their 10th standard public examinations and continue their studies.","Tribal Welfare, Students, Cash Award, Education, Topper"
Awasiya Vidyala Yojana,https://www.myscheme.gov.in/schemes/avy,"""Awasiye Vidyala Yojana"" initiated by the Labor Department of the Uttar Pradesh State for the education of the construction worker.","Education, Social Welfare"
BC & EBC Girls Residential +2 High School,https://www.myscheme.gov.in/schemes/bcebcgrhs,"The scheme aims to provide quality education and holistic development opportunities for girls from backward and extremely backward classes. Free education, accommodation, study material, medical support, and skill development programs are provided.","Financial Assistance, Girl Student, Backward Class, Extremely Backward Class, Vocational Training, Free Accommodation, Hostel"
BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,https://www.myscheme.gov.in/schemes/bplsws,The scheme aims to provide financial assistance in the form of scholarships to the economically weaker students studying in government engineering and polytechnic colleges of Chhattisgarh.  The scheme offers financial aid to students enrolled in professional courses.,"Student, Below Poverty Line, Education, Scholarship, BPL"
Back-To-Lab Post-Doctoral Fellowship Programme,https://www.myscheme.gov.in/schemes/btlpdfp,"The “Back-to-Lab” programme of Women Scientists Division offers Research and Post-Doctoral Fellowship to women who have break in their career, to facilitate their re-entry in science research.","Woman, Scientist, Post-Doctoral, Fellowship, Unemployed"
BPL Scholarship for College Students,https://www.myscheme.gov.in/schemes/bplscs,"The scheme “BPL Scholarship For College Students” was implemented by the Department of Higher Education, Government of Chhattisgarh since 2005 to provide financial assistance to meritorious students from BPL category families to meet a part of their day-to-day expenses while pursuing higher studies.","BPL, Scholarship, College, Student, Graduate, Post Graduate"
Backward Classes Foreign Study Scholarship Scheme,https://www.myscheme.gov.in/schemes/bcfsss,"Launched on 1st January 2007, the ""Backward Classes Foreign Study Scholarship Scheme"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh provides financial assistance to backward class students for postgraduate, Ph.D., and post-research studies abroad.","Backward Classes, Foreign Study, Scholarship, Students, Financial Support"
Back-to-Lab Research Fellowship Programme,https://www.myscheme.gov.in/schemes/btlrfp,"To facilitate the re-entry of women having a career break to Science research, the Kerala State Council of Science, Technology and Environment (KSCSTE) launched the “Back-to-Lab Research Fellowship Programme” in 2010.","Research, Fellowship, Woman, Scholar, Fellow, Unemployed"
BSR Fellowship Scheme for Science Students - UGC,https://www.myscheme.gov.in/schemes/bsrfssugc,The objective of the scheme is to provide opportunities to meritorious candidates to undertake advanced studies and research leading to Ph.D. degrees in sciences.,"Research, Fellowship, Science, PhD, UGC, BSR, Student"
Backward Class Students Meritorious Award Scheme,https://www.myscheme.gov.in/schemes/bcsmas,"""Backward Classes Student Merit Award Scheme"" aims to recognize and reward academic excellence among backward-class students. Monetary awards are provided to one boy and one girl student from backward classes who secure the highest marks at the district level in class 10th and 12th board exams.","Backward Class, Student, Meritorious, Examination, Award, Education"
Banishree Scholarship,https://www.myscheme.gov.in/schemes/bs,The aim provides assistance and encourages them to study as well as acquire technical/ professional/ vocational training.,"Education & Learning, Student Finance"
Bhagwan Birsa Munda Lakshya Siddhi Yojana,https://www.myscheme.gov.in/schemes/bbmlsy,"The scheme provides financial assistance, in the form of a Scholarship, proportionate to the fees paid by Scheduled Tribe students at the Higher Secondary School Certificate (HSSC) level in order to take offline coaching assistance through reputed institutions for preparation for NEET & JEE.","Scholarship, Scheduled Tribe, Examination, Student, Education"
Bharati Scheme for Education - 1st Class to 5th Class,https://www.myscheme.gov.in/schemes/bse,"""The Bharati Scheme for Education - 1st Class to 5th Class"" encourages Brahmin students of Andhra Pradesh to continue their education.  Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin student applicants.","Financial Assistance, Brahmin, Education, Student"
Bharati Scheme for Education - 6th Class to 10th Class,https://www.myscheme.gov.in/schemes/bse-6c10c,"""The Bharati Scheme for Education - 6th Class to 10th Class"" encourages Brahmin students of Andhra Pradesh to continue their education. Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin student applicants.","Financial Assistance, Student, Brahmin"
Bharati Scheme for Education - Graduation,https://www.myscheme.gov.in/schemes/bse-g,"The ""Bharati Scheme for Education - Graduation (Any regular course of 3 years duration after 10+2 will be considered under this category. i.e., B.A., B.Com, B.Sc., etc., including B.Ed.)"" provides financial assistance to encourage Brahmin students of Andhra Pradesh to continue their education.","Financial Assistance, Graduation, Brahmin, Student"
Bharati Scheme for Education - Intermediate or Equivalent,https://www.myscheme.gov.in/schemes/bse-ie,"The scheme aims to encourage Brahmin students of Andhra Pradesh to continue their education. Through this scheme, financial assistance is provided to eligible poor Brahmin students.","Financial Assistance, Student, Polytechnic, ITI"
Bharati Scheme for Education - Professional Education Course,https://www.myscheme.gov.in/schemes/bse-pec,"The ""Bharati Scheme for Education - Professional Education Course"" encourages Brahmin students of Andhra Pradesh to continue their education. Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin student applicants.","Financial Assistance, Brahmin Community, Professional Course"
Bharati Scheme for Education - Post-Graduation,https://www.myscheme.gov.in/schemes/bse-pg,"The ""Bharati Scheme for Education - Post-Graduation (Any course of 2 Years or more duration, after Graduation (10+2+3) will be considered under this category, i.e., M.Sc, M.Com, M.A., M.Tech, M.D., M.Pharm, MBA, etc.)"" encourages Brahmin students of Andhra Pradesh to continue their education.","Financial Assistance, Student, Post-Graduation, Brahmin Community"
Bharati Scheme for Master’s Degree Overseas,https://www.myscheme.gov.in/schemes/bsmdo,"The ""Bharati Scheme for Master’s Degree Overseas"" aims to provide financial assistance to Brahmin students of Andhra Pradesh, who secured admission for any master's degree course overseas in reputed institutions for the year or students pursuing part of their course abroad.","Student, Financial Assistance, Master Degree, Aborad, Course"
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,https://www.myscheme.gov.in/schemes/bsepec-caf,"The ""Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final"" encourages Brahmin students of Andhra Pradesh to continue their education. Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin students.","Financial Assistance, Chartered Accountant, Brahmin, Student"
