Title,Link,Description,Tags
The Scheme Of State Award For Disabled,https://www.myscheme.gov.in/schemes/tssad,"The ""The Scheme of State Award for Disabled"" is a scheme by the Dept. of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, every year, the State Government felicitates awards to the Best Disabled Employees/Employers/Placement Agencies who have done outstanding work.","Persons With Disability, Employment, Award, Placement"
"The Tripura Tribal Folk Arts & Cultural (Financial Assistance) Rules, 2022",https://www.myscheme.gov.in/schemes/ttfacfar-2022,"The Tripura Tribal Folk Arts & Cultural (Financial Assistance) Scheme, 2022, is a government initiative to provide financial assistance to the government and non-government organizations to promote & preserve the traditional culture programme, exhibition in different tribal communities, & folk songs","Financial Assistance, NGO, Folk Arts, Culture"
Tholkappiar Award,https://www.myscheme.gov.in/schemes/ta,"The scheme ""Tholkappiar Award"" was launched by the Arts and Culture Department, Puducherry. The scheme aims to provide financial assistance to writers and authors for outstanding research publications in Tamil literature.","Financial Assistance, Award, Author, Writer"
Tiatr Cantaram Singing Competition,https://www.myscheme.gov.in/schemes/tcsc,"The ""Tiatr Cantaram Singing Competition"", organised by the Kala Academy under the Department of Art, Culture and Museums, Government of Goa, aims to promote singing talent, preserve and revive the tradition of Tiatr songs, and encourage both traditional and new compositions that reflect Goa.","Academy, Financial Support, Award, Artist, Singing, Competition"
Tiatr Competition,https://www.myscheme.gov.in/schemes/tc,"The ""Tiatr Competition"" aims to encourage and promote the unique Goan theatre form of Tiatr. Participation in this scheme is open to Goan institutions registered under the Societies Registration Act, 1860 (with renewed registration). Entries are invited through press notes in local dailies.","Prizes, Academy, Financial Support, Institutions"
Tirth Barat Yojana,https://www.myscheme.gov.in/schemes/tby,"The objective of this scheme is to provide government assistance for pilgrimage to the senior citizens & Persons with Disabilities (PwDs), who are residents of Chhattisgarh, to visit one or more of the various designated pilgrimage sites outside the state, once in their lifetime.","Tirth Yatra, Senior Citizen, PwD, Pilgrim, BPL, Pilgrimage"
Tool/Equipment Purchase Subsidy Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/tepssmpbocwwb,"Launched on January 1, 2018, the ""Tool/Equipment Purchase Subsidy Scheme"" provides financial assistance to construction workers registered under the M.P. Building and Other Construction Workers Welfare Board for the purchase of tools and equipment related to their work.","Building Worker, Construction Workers, Labour, Tools, Financial Assistance"
Toposili Bandhu (Old Age Pension) Scheme,https://www.myscheme.gov.in/schemes/obs,"""Toposili Bandhu"" (Old Age Pension) scheme was initiated by the Backward Classes Welfare Department and Tribal Development Department of West Bengal Government.","Pension, Financial Assistance, Social Welfare"
Top Class Education For Students With Disabilities,https://www.myscheme.gov.in/schemes/tce-swd,A scholarship scheme by DoEPwDs for Students with Disabilities (SwDs) pursuing studies beyond class 12th admitted in a full-time course in one of the 'notified institutions'.,"Student, Scholarship, Person With Disability, Empowerment, Tuition Fee, Books And Stationery"
Training Assistance for Competitive Examinations,https://www.myscheme.gov.in/schemes/tafce,"The ""Training Assistance for Competitive Examinations"" scheme provides financial assistance to non-reserved category students who are undergoing training in recognized institutions for competitive recruitment examinations.","Training, Competitive Examination, Student"
Top Class Education For Scheduled Caste Students,https://www.myscheme.gov.in/schemes/tce-sc,A scholarship scheme by Ministry of Social Justice and Empowerment for Scheduled Caste students pursuing studies beyond class 12th admitted in a full-time course in one of the notified institutions. The total annual family income from all sources must be less than or equal to Rs. 8.00 lakh.,"Student, Scholarship, Education, Scheduled Caste, Tuition Fee"
"Training Of Motor Driving To VJNT, SBS & OBC",https://www.myscheme.gov.in/schemes/tmdvso,"The Government of Maharashtra launched a scheme that provides light and heavy motor driving, and conductor training to the needy Vimukta Jati, Nomadic Tribes, and Other Backward Class (VJNT, OBC & SBC) candidates.","Motor Driving, Training, Maharashtra, School, Vimukta Jati And Nomadic Tribes, Other Backward Class, Special Backward Caste"
Training Centre for Specially-Abled Persons,https://www.myscheme.gov.in/schemes/tcfsap,"The Training Centre for Specially-Abled Persons scheme offers vocational courses for specially-abled individuals, funded by the Government of Mizoram. The centers provide courses in tailoring for females and tailoring/shoemaking for males, with a monthly stipend of ₹250 for the training period.","Vocational Training, Specially-Abled Person, Student, Stipend"
Spurring Entrepreneurship Initiative,https://www.myscheme.gov.in/schemes/sei,Spurring Entrepreneurship Initiative is a scheme to provide financial assistance to youth of Union Territory of J&K for establishing their business units with a special focus on high-growth entrepreneurship.,"Financial Assistance, Start Up Loan, Young Entrepreneurs, High Growth Entrepreneurship"
Stamp Duty Exemption for Property Registration,https://www.myscheme.gov.in/schemes/sdepr,The scheme aims to provide financial relief during property registration by offering exemptions or rebates in stamp duty to specific sections of society.,"Stamp Duty, Property Registration, Exemption, Registry, Immovable Property"
Stand-Up India,https://www.myscheme.gov.in/schemes/sui,"A scheme by Ministry of Finance for financing SC/ST and  Women Entrepreneurs by facilitating bank loans for setting up a greenfield project  Enterprise in manufacturing, services, trading sector and activities allied to agriculture.","Loan, Entrepreneur, Finance, Business"
